strike,call_symbol,put_symbol,call_oi,put_oi,call_volume,put_volume,call_iv,put_iv,call_bid,put_bid,call_ask,put_ask,call_last,put_last,call_gex,put_gex,total_gex,volume,probability
98,SPCX260807C00098000,SPCX260807P00098000,59,3313,6,2798,1.4248075634765625,1.29297228515625,16.8,0.51,17.9,0.54,18.92,0.53,20797,-1167818,-1147021,2804,35.46
99,SPCX260807C00099000,SPCX260807P00099000,104,1995,120,2721,1.197269638671875,1.291019169921875,15.5,0.62,16.65,0.64,16.77,0.66,37878,-726594,-688716,2841,33.54
100,SPCX260807C00100000,SPCX260807P00100000,4655,50158,585,53427,1.1943399658203124,1.2753942480468747,14.6,0.71,15.75,0.74,15,0.74,1928077,-20775189,-18847112,54012,37.86
101,SPCX260807C00101000,SPCX260807P00101000,151,3618,34,2139,1.562013908691406,1.2685583447265623,14.35,0.84,15.95,0.86,16.2,0.86,75880,-1818108,-1742228,2173,52.65
102,SPCX260807C00102000,SPCX260807P00102000,79,1540,26,3727,1.115238798828125,1.2939488427734374,12.75,1.06,13.8,1.08,15,1.05,41426,-807540,-766114,3753,46.76
103,SPCX260807C00103000,SPCX260807P00103000,239,1917,40,2139,1.2324257128906249,1.2587927685546876,12.45,1.15,12.95,1.18,13.25,1.15,141889,-1138083,-996194,2179,54.74
104,SPCX260807C00104000,SPCX260807P00104000,214,1079,29,2560,1.1962930810546877,1.26172244140625,11.6,1.36,12,1.39,12.68,1.35,140289,-707347,-567058,2589,59.64
105,SPCX260807C00105000,SPCX260807P00105000,2181,20812,444,13249,1.2353553857421873,1.2524451440429685,10.95,1.56,11.3,1.59,12.11,1.55,1565929,-14942739,-13376810,13693,66.11
106,SPCX260807C00106000,SPCX260807P00106000,505,1808,247,1760,1.1547893823242186,1.2504920288085937,9.95,1.8,10.3,1.84,10.97,1.8,397635,-1423611,-1025976,2007,70.1
107,SPCX260807C00107000,SPCX260807P00107000,243,2208,374,6975,1.2211953002929685,1.2509803076171875,9.45,2.08,9.75,2.12,11.62,2.08,204229,-1855709,-1651480,7349,76.9
108,SPCX260807C00108000,SPCX260807P00108000,1004,2990,600,4810,1.220707021484375,1.2524451440429685,8.75,2.39,9.05,2.43,9.98,2.48,899880,-2679922,-1780042,5410,82.04
109,SPCX260807C00109000,SPCX260807P00109000,838,2016,1665,5094,1.1640666796875,1.2700231811523435,7.9,2.8,8.15,2.82,8.68,2.81,802938,-1931651,-1128713,6759,86.32
110,SPCX260807C00110000,SPCX260807P00110000,3245,26159,11410,41020,1.2163125122070313,1.249515471191406,7.45,3.05,7.7,3.15,7.41,3.05,3227815,-26020466,-22792651,52430,90.78
111,SPCX260807C00111000,SPCX260807P00111000,2168,2528,3613,5043,1.2060586572265624,1.237796779785156,6.85,3.4,7,3.5,7.3,3.5,2256595,-2631306,-374711,8656,94.15
112,SPCX260807C00112000,SPCX260807P00112000,4091,4801,4874,3994,1.2001993115234375,1.2441444042968748,6.25,3.85,6.4,3.95,6.23,4.05,4382001,-5142504,-760503,8868,96.9
113,SPCX260807C00113000,SPCX260807P00113000,1607,2521,4790,3655,1.2114297241210936,1.2788121997070312,5.75,4.45,5.9,4.55,6.01,4.5,1723666,-2704021,-980355,8445,98.86
114,SPCX260807C00114000,SPCX260807P00114000,1442,2534,4924,4402,1.220707021484375,1.2451209619140622,5.3,4.8,5.4,4.9,5.4,4.8,1577427,-2771983,-1194556,9326,99.84
115,SPCX260807C00115000,SPCX260807P00115000,10180,20407,20297,8914,1.2163125122070313,1.2402381738281247,4.8,5.3,4.9,5.4,4.81,5.34,11188283,-22428222,-11239939,29211,99.93
116,SPCX260807C00116000,SPCX260807P00116000,5349,1952,10253,4540,1.2221718579101561,1.2402381738281247,4.4,5.85,4.45,5.95,4.27,6.08,5816638,-2122654,3693984,14793,99.11
117,SPCX260807C00117000,SPCX260807P00117000,1598,1282,8740,1811,1.220707021484375,1.2451209619140622,3.95,6.45,4.05,6.55,3.95,6.53,1705459,-1368209,337250,10551,97.4
118,SPCX260807C00118000,SPCX260807P00118000,2278,2267,3809,1945,1.23047259765625,1.2675817871093749,3.6,7.15,3.7,7.25,3.65,7.35,2340204,-2328904,11300,5754,94.98
119,SPCX260807C00119000,SPCX260807P00119000,1899,2389,2696,1329,1.2334022705078125,1.270999738769531,3.25,7.75,3.35,7.95,3.2,7.8,1880293,-2365466,-485173,4025,91.78
120,SPCX260807C00120000,SPCX260807P00120000,14072,25722,26092,6169,1.23047259765625,1.2675817871093749,2.93,8.4,2.98,8.6,2.91,8.7,13366378,-24432204,-11065826,32261,87.82
121,SPCX260807C00121000,SPCX260807P00121000,2647,1590,4277,845,1.231937434082031,1.2241249731445314,2.63,8.95,2.68,9.1,2.72,8.65,2411118,-1448310,962808,5122,82.8
122,SPCX260807C00122000,SPCX260807P00122000,1667,1037,3495,377,1.228519482421875,1.2529334228515623,2.34,9.65,2.38,10.05,2.3,9.84,1417593,-881850,535743,3872,78.1
123,SPCX260807C00123000,SPCX260807P00123000,1275,4129,3890,3379,1.2470740771484374,1.2128945605468748,2.14,10.3,2.2,10.6,2.28,10.45,1012757,-3279745,-2266988,7269,72.32
124,SPCX260807C00124000,SPCX260807P00124000,3697,3126,4338,2696,1.2460975195312498,1.3105503222656247,1.91,11.5,1.95,11.6,2.02,11.17,2683347,-2268906,414441,7034,68.68
125,SPCX260807C00125000,SPCX260807P00125000,10100,11237,13855,6675,1.2553748168945313,1.325686965332031,1.73,12.2,1.76,12.55,1.75,12.17,6733172,-7491154,-757982,20530,63.68
126,SPCX260807C00126000,SPCX260807P00126000,1659,806,2486,239,1.2529334228515623,1.189457177734375,1.53,12.6,1.55,12.9,1.55,12.3,1001692,-486657,515035,2725,54.58
127,SPCX260807C00127000,SPCX260807P00127000,1426,382,2944,105,1.2446326831054684,1.2822301513671874,1.33,13.7,1.35,14,1.32,13.1,780796,-209161,571635,3049,51.21
128,SPCX260807C00128000,SPCX260807P00128000,1229,200,1636,42,1.2753942480468747,1.2880894970703123,1.25,14.5,1.28,14.9,1.2,12.9,606148,-98641,507507,1678,46.79
129,SPCX260807C00129000,SPCX260807P00129000,1174,867,1771,519,1.272464575195312,1.2968785156249998,1.1,15.35,1.12,15.8,1.11,14.74,515676,-380827,134849,2290,41.77
130,SPCX260807C00130000,SPCX260807P00130000,16093,3519,17317,921,1.2890660546875,1.3017613037109372,1.01,16.25,1.03,16.65,1.03,16.25,6286454,-1374637,4911817,18238,37.46
131,SPCX260807C00131000,SPCX260807P00131000,1754,321,2184,34,1.2939488427734374,1.2451209619140622,0.9,16.45,0.92,17.95,1,16.93,585413,-107137,478276,2218,31.37
132,SPCX260807C00132000,SPCX260807P00132000,1237,191,1494,66,1.307620649414062,1.111332568359375,0.82,17.1,0.84,18.6,0.8,16.87,328002,-50645,277357,1560,23.74
133,SPCX260807C00133000,SPCX260807P00133000,2956,385,1198,34,1.2949254003906248,1.0712937060546879,0.69,18.3,0.72,19.15,0.72,17.07,628725,-81887,546838,1232,18.63
134,SPCX260807C00134000,SPCX260807P00134000,1762,514,772,49,1.3173862255859374,1.0302782861328126,0.65,19.2,0.67,20.05,0.7,17.97,303961,-88670,215291,821,14.99
135,SPCX260807C00135000,SPCX260807P00135000,14989,4567,9123,343,1.334964262695312,1.3154331103515622,0.6,20.5,0.62,21.45,0.61,21,2944807,-897254,2047553,9466,19.27
136,SPCX260807C00136000,SPCX260807P00136000,1539,257,1273,6,1.3408236083984373,0.500005,0.53,20.8,0.56,22,0.57,22.62,52806,-8818,43988,1279,2.34
137,SPCX260807C00137000,SPCX260807P00137000,2204,340,1900,6,1.3574250878906249,1.5732443212890623,0.5,21.2,0.51,23.3,0.51,22.15,400659,-61808,338851,1906,19.72
138,SPCX260807C00138000,SPCX260807P00138000,1686,322,822,92,1.369143779296875,1.0976607617187502,0.45,22.8,0.47,24.3,0.48,22.83,151455,-28926,122529,914,8.2
139,SPCX260807C00139000,SPCX260807P00139000,1111,1224,623,24,1.39453427734375,1.5136743066406249,0.43,24.6,0.45,25.45,0.44,25.3,145917,-160759,-14842,647,14.14
140,SPCX260807C00140000,SPCX260807P00140000,14775,2987,8174,175,1.3896514892578122,1.423831005859375,0.37,25.5,0.39,26.15,0.38,26,1472956,-297781,1175175,8349,10.38
141,SPCX260807C00141000,SPCX260807P00141000,1578,557,518,10,1.419924775390625,1.798829130859375,0.36,23.25,0.38,27.4,0.35,26.75,204226,-72087,132139,528,15.42
142,SPCX260807C00142000,SPCX260807P00142000,1913,221,916,28,1.423831005859375,1.4404324853515624,0.32,26.4,0.34,27.75,0.33,28.21,141847,-16387,125460,944,7.86
