strike,call_symbol,put_symbol,call_oi,put_oi,call_volume,put_volume,call_iv,put_iv,call_bid,put_bid,call_ask,put_ask,call_last,put_last,call_gex,put_gex,total_gex,volume,probability
375,SPY260731C00375000,SPY260731P00375000,4,14642,4,1,5.030277149658202,2.56250359375,362.96,0,366.28,0.01,378.45,0.01,95,-347360,-347265,5,4.71
380,SPY260731C00380000,SPY260731P00380000,1,4245,1,502,4.941410073242187,2.50000375,357.96,0,361.27,0.01,373.33,0.01,23,-98896,-98873,503,4.54
385,,SPY260731P00385000,0,1082,0,200,0,2.50000375,0,0,0,0.01,0,0.01,0,-1059,-1059,200,0.13
390,,SPY260731P00390000,0,1507,0,102,0,2.43750390625,0,0,0,0.01,0,0.01,0,-1305,-1305,102,0.11
395,SPY260731C00395000,SPY260731P00395000,11,2375,0,192,3.50000125,2.3750040624999995,339.48,0,342.33,0.01,357.62,0.01,75,-16262,-16187,192,1.05
400,SPY260731C00400000,SPY260731P00400000,1,3160,1,5,3.6289071777343755,2.3125042187499996,334.41,0,337.53,0.01,343.52,0.01,9,-26940,-26931,6,1.33
405,SPY260731C00405000,SPY260731P00405000,1,1716,1,20,4.529789494018554,2.3125042187499996,332.99,0,336.3,0.01,343.87,0.01,24,-40503,-40479,21,4.23
410,,SPY260731P00410000,0,4783,0,1,0,2.2500043749999996,0,0,0,0.01,0,0.01,0,-3365,-3365,1,0.08
415,SPY260731C00415000,SPY260731P00415000,1,858,0,380,6.924073610534668,2.1875045312499997,338.84,0,341.64,0.01,322.94,0.01,78,-67177,-67099,380,18.67
420,SPY260731C00420000,SPY260731P00420000,29,1783,4,481,3.5058606103515624,2.1875045312499997,314.49,0,317.73,0.01,319.78,0.01,302,-18567,-18265,485,1.55
425,,SPY260731P00425000,0,2525,0,32,0,2.1250046874999997,0,0,0,0.01,0,0.01,0,-1625,-1625,32,0.07
430,SPY260731C00430000,SPY260731P00430000,25,8205,50,300,3.2363300341796872,2.0625048437499998,304.5,0,307.53,0.01,322.71,0.01,198,-65032,-64834,350,1.1
435,SPY260731C00435000,SPY260731P00435000,1,4128,0,2213,3.3203141992187497,2.031254921875,299.36,0,302.75,0.01,299.94,0.02,10,-40829,-40819,2213,1.39
440,SPY260731C00440000,SPY260731P00440000,56,5447,32,5,3.27343931640625,1.96875015625,294.5,0,297.78,0.01,298.17,0.01,547,-53161,-52614,37,1.34
445,SPY260731C00445000,SPY260731P00445000,1,3500,2,50,3.3046892382812496,1.9375003125,289.77,0,292.96,0.01,293.25,0.01,11,-39451,-39440,52,1.55
450,SPY260731C00450000,SPY260731P00450000,86,4454,1,48,3.162111469726563,1.9062504687500001,284.39,0,287.81,0.01,288.16,0.01,872,-45168,-44296,49,1.35
455,SPY260731C00455000,SPY260731P00455000,2,757,2,131,3.0136743408203124,1.875000625,279.74,0,282.66,0.01,283.15,0.01,18,-6765,-6747,133,1.14
460,SPY260731C00460000,SPY260731P00460000,1,2963,0,220,2.9873072192382812,1.8125009374999999,274.37,0,277.72,0.01,292.84,0.01,9,-26859,-26850,220,1.14
465,SPY260731C00465000,SPY260731P00465000,6,1905,2,181,2.9482448168945314,1.8125009374999999,269.43,0,272.76,0.01,286.94,0.02,60,-19031,-18971,183,1.24
470,SPY260731C00470000,SPY260731P00470000,25,152507,1,580,2.7519562451171877,1.75000125,264.61,0,267.53,0.01,265.87,0.01,188,-1146682,-1146494,581,0.89
475,SPY260731C00475000,SPY260731P00475000,13,7082,20,64,5.645022474975586,1.6875015625,278.97,0,281.77,0.01,269.8,0.01,1218,-663795,-662577,84,17.99
480,SPY260731C00480000,SPY260731P00480000,2,2536,2,2,2.8066436083984376,1.6875015625,254.51,0,257.84,0.01,258.96,0.01,21,-26628,-26607,4,1.23
485,SPY260731C00485000,SPY260731P00485000,31,2052,1,10,2.6611361596679695,1.625001875,249.53,0,252.67,0.01,250.35,0.01,266,-17583,-17317,11,0.96
490,SPY260731C00490000,SPY260731P00490000,102,855,1,1,2.5761754345703123,1.5937520312499998,244.78,0,247.62,0.01,262.13,0.01,838,-7023,-6185,2,0.9
495,SPY260731C00495000,SPY260731P00495000,21,1225,2,480,2.5908238354492186,1.5625021874999998,239.61,0,242.76,0.01,257.01,0.01,202,-11770,-11568,482,1.04
500,SPY260731C00500000,SPY260731P00500000,51,2985,24,1,2.5654332739257812,1.5000025,234.52,0,237.83,0.01,245,0.01,498,-29165,-28667,25,1.04
505,SPY260731C00505000,SPY260731P00505000,31,2173,1,360,3.081545264892578,1.5000025,233.11,0,236.43,0.01,244.56,0.01,825,-57798,-56973,361,3.19
510,SPY260731C00510000,SPY260731P00510000,5,1794,1,42,2.356449421386718,1.4375028125,224.76,0,227.63,0.01,245.01,0.01,41,-14721,-14680,43,0.81
515,SPY260731C00515000,SPY260731P00515000,8,1246,1,547,2.269535576171875,1.40625296875,219.41,0,222.57,0.01,223.29,0.01,62,-9635,-9573,548,0.74
520,SPY260731C00520000,SPY260731P00520000,4,2536,2,1,2.220707573242187,1.3750031249999999,214.53,0,217.58,0.01,215.78,0.01,32,-20197,-20165,3,0.75
525,SPY260731C00525000,SPY260731P00525000,10,1560,1,205,2.2773480566406246,1.3437532812499997,209.56,0,212.82,0.01,210.51,0.01,106,-16458,-16352,206,1
530,SPY260731C00530000,SPY260731P00530000,50,1040,17,4,2.1572311694335937,1.3125034374999998,204.53,0,207.67,0.01,211.29,0.01,461,-9596,-9135,21,0.84
535,SPY260731C00535000,SPY260731P00535000,30,12829,1,10,2.166508489990234,1.2812535937499998,199.56,0,202.82,0.01,213.81,0.01,330,-141207,-140877,11,0.99
540,SPY260731C00540000,SPY260731P00540000,3,2192,1,3,1.9179691601562503,1.2500037499999999,194.63,0,197.41,0.01,198.16,0.01,20,-14651,-14631,4,0.55
545,SPY260731C00545000,SPY260731P00545000,2,636,1,2,1.9794922900390626,1.1875040625,189.47,0,192.63,0.01,193.24,0.02,17,-5500,-5483,3,0.72
550,SPY260731C00550000,SPY260731P00550000,6,301969,1,2,2.0668993640136715,1.15625421875,184.77,0,188,0.01,186.52,0.01,77,-3888641,-3888564,3,1.09
555,SPY260731C00555000,SPY260731P00555000,1,572,2,8,1.9501955615234376,1.125004375,179.46,0,182.82,0.01,187.49,0.01,11,-6426,-6415,10,0.9
560,SPY260731C00560000,SPY260731P00560000,20,588,4,10,1.9038090747070315,1.09375453125,174.54,0,177.84,0.01,180.91,0.01,236,-6925,-6689,14,0.92
565,SPY260731C00565000,SPY260731P00565000,3,1050,2,1,1.8544929150390623,1.0625046875000002,169.54,0,172.85,0.01,176.41,0.01,37,-12877,-12840,3,0.94
570,SPY260731C00570000,SPY260731P00570000,1399,4371,50,380,0.000010000000000000003,1.0312548437500002,164.74,0,166.57,0.01,163.1,0.01,0,0,0,430,0
575,SPY260731C00575000,SPY260731P00575000,11,28547,2,15,1.646486142578125,0.98437515625,159.78,0,162.57,0.01,156.61,0.01,98,-254311,-254213,17,0.61
580,SPY260731C00580000,SPY260731P00580000,184,1161,2,2,1.3847687011718748,0.9687503125,154.78,0,157.18,0.01,150.53,0.01,757,-4775,-4018,4,0.25
585,SPY260731C00585000,SPY260731P00585000,27,4247,2,1549,1.6508806518554686,0.937500625,149.64,0,152.87,0.01,156.35,0.01,388,-60990,-60602,1551,0.97
590,SPY260731C00590000,SPY260731P00590000,53,4324,1,59,1.541017919921875,0.9062509375,144.79,0,147.69,0.01,147.3,0.01,650,-53011,-52361,60,0.79
595,SPY260731C00595000,SPY260731P00595000,293,3126,3,16,0.000010000000000000003,0.87500125,139.75,0,141.58,0.01,141.26,0.01,0,0,0,19,0
600,SPY260731C00600000,SPY260731P00600000,6308,11798,540,4,0.000010000000000000003,0.8437515624999999,135.87,0,136.3,0.01,129.33,0.01,0,0,0,544,0
605,SPY260731C00605000,SPY260731P00605000,22,1505,5,48,1.4848658569335935,0.8125018749999999,129.65,0,133.02,0.01,134.64,0.02,434,-29685,-29251,53,1.19
610,SPY260731C00610000,SPY260731P00610000,124,1084,3,16,1.1298871630859377,0.7812521875,124.79,0,127.19,0.01,128.77,0.01,658,-5751,-5093,19,0.27
615,SPY260731C00615000,SPY260731P00615000,572,850,2,2,1.3300814746093748,0.7500025,119.58,0,122.82,0.01,124.93,0.01,10345,-15373,-5028,4,0.98
620,SPY260731C00620000,SPY260731P00620000,1225,2538,2,8,1.3247104077148437,0.7187528125,114.83,0,118,0.01,115.71,0.01,28030,-58074,-30044,10,1.22
621,SPY260731C00621000,SPY260731P00621000,8,1078,2,4,1.2251015307617186,0.70312796875,113.57,0,116.66,0.01,114.71,0.03,123,-16538,-16415,6,0.77
622,SPY260731C00622000,SPY260731P00622000,10,746,2,25,1.2900426123046875,0.70312796875,112.58,0,115.94,0.01,113.36,0.05,219,-16349,-16130,27,1.14
623,SPY260731C00623000,SPY260731P00623000,94,950,2,1,1.2500037499999999,0.6875031250000001,111.56,0,114.82,0.01,112.36,0.07,1773,-17914,-16141,3,0.96
624,SPY260731C00624000,SPY260731P00624000,0,404,2,20,1.2548865380859375,0.6875031250000001,110.8,0,113.88,0.01,111.65,0.01,0,-8433,-8433,22,1.06
625,SPY260731C00625000,SPY260731P00625000,608,4507,2,1,0.000010000000000000003,0.6875031250000001,109.6,0,111.9,0.01,110.65,0.01,0,0,0,3,0
626,SPY260731C00626000,SPY260731P00626000,30,1497,29,18,1.1430706909179689,0.6718782812500002,108.43,0,111.55,0.01,112.92,0.01,416,-20734,-20318,47,0.66
627,SPY260731C00627000,SPY260731P00627000,10,1166,10,503,2.0600634436035157,0.6718782812500002,116,0,119.29,0.01,83.32,0.02,1585,-184808,-183223,513,11.33
628,SPY260731C00628000,SPY260731P00628000,0,299,1,26,0.000010000000000000003,0.6562534375000001,0,0,0,0.01,77.64,0.01,0,0,0,27,0
629,SPY260731C00629000,SPY260731P00629000,13,378,46,6,1.5544455871582028,0.6562534375000001,109.32,0,112.64,0.01,124.61,0.01,911,-26484,-25573,52,4.05
630,SPY260731C00630000,SPY260731P00630000,789,152430,21,3,0.000010000000000000003,0.6562534375000001,104.49,0,106.9,0.01,109.92,0.01,0,0,0,24,0
631,SPY260731C00631000,SPY260731P00631000,11,2311,6,1,1.1108442895507813,0.64062859375,103.66,0,106.6,0.01,116.38,0.03,175,-36822,-36647,7,0.73
632,SPY260731C00632000,SPY260731P00632000,10,1815,5,2,1.519045373535156,0.64062859375,106.33,0,109.64,0.01,112.21,0.01,740,-134245,-133505,7,4.18
