strike,call_symbol,put_symbol,call_oi,put_oi,call_volume,put_volume,call_iv,put_iv,call_bid,put_bid,call_ask,put_ask,call_last,put_last,call_gex,put_gex,total_gex,volume,probability
375,SPY260731C00375000,SPY260731P00375000,4,14639,4,150,0.000010000000000000003,1.8437507812499998,362.96,0,366.28,0.01,378.45,0.01,0,0,0,154,0
380,SPY260731C00380000,SPY260731P00380000,1,4245,1,502,0.000010000000000000003,1.8125009374999999,357.96,0,361.27,0.01,373.33,0.01,0,0,0,503,0
385,,SPY260731P00385000,0,1082,0,200,0,1.75000125,0,0,0,0.01,0,0.01,0,-6853,-6853,200,1
390,,SPY260731P00390000,0,1507,0,102,0,1.75000125,0,0,0,0.01,0,0.01,0,-10848,-10848,102,1.14
395,SPY260731C00395000,SPY260731P00395000,11,2375,0,192,2.1210984472656245,1.6875015625,345.48,0,348.98,0.01,357.62,0.01,162,-35031,-34869,192,2.55
400,SPY260731C00400000,SPY260731P00400000,1,3160,1,32,2.373050942382812,1.6875015625,340.79,0,344.07,0.01,343.52,0.01,24,-74549,-74525,33,4.34
405,SPY260731C00405000,SPY260731P00405000,1,1716,1,20,3.280275236816406,1.625001875,338.32,0,341.8,0.01,343.87,0.01,56,-95734,-95678,21,12.4
410,,SPY260731P00410000,0,4783,0,482,0,1.625001875,0,0,0,0.01,0,0.01,0,-32167,-32167,482,0.99
415,SPY260731C00415000,SPY260731P00415000,1,858,0,380,4.468388203582763,1.5625021874999998,338.84,0,341.64,0.01,322.94,0.01,100,-85533,-85433,380,27.25
420,SPY260731C00420000,SPY260731P00420000,33,1783,54,481,2.134770288085937,1.5625021874999998,320.8,0,323.93,0.01,332.73,0.01,688,-37173,-36485,535,3.49
425,,SPY260731P00425000,0,2525,0,32,0,1.5000025,0,0,0,0.01,0,0.01,0,-13318,-13318,32,0.72
430,SPY260731C00430000,SPY260731P00430000,25,8205,50,300,2.1543014892578123,1.5000025,311.07,0,313.88,0.01,322.71,0.01,601,-197204,-196603,350,3.98
435,SPY260731C00435000,SPY260731P00435000,1,4128,0,2213,2.0332080419921876,1.4375028125,305.81,0,308.96,0.01,299.94,0.02,20,-82462,-82442,2213,3.14
440,SPY260731C00440000,SPY260731P00440000,56,5447,32,5,1.984375078125,1.4375028125,300.96,0,303.79,0.01,298.17,0.01,1152,-112086,-110934,37,3.19
445,SPY260731C00445000,SPY260731P00445000,1,3500,2,50,2.0859422851562495,1.40625296875,296.17,0,298.94,0.01,293.25,0.01,26,-90242,-90216,52,4.08
450,SPY260731C00450000,SPY260731P00450000,86,4454,1,48,1.8808599707031248,1.3750031249999999,290.68,0,294.02,0.01,288.16,0.01,1662,-86073,-84411,49,2.85
455,SPY260731C00455000,SPY260731P00455000,2,757,2,131,2.4140664648437498,1.3437532812499997,285.56,0,288.62,0.01,283.15,0.01,89,-33685,-33596,133,7.58
460,SPY260731C00460000,SPY260731P00460000,1,2963,0,220,1.9814454052734376,1.3125034374999998,281.17,0,284,0.01,292.84,0.01,26,-77601,-77575,220,3.91
465,SPY260731C00465000,SPY260731P00465000,6,1905,2,181,1.7773448632812499,1.2812535937499998,275.95,0,278.77,0.01,286.94,0.02,115,-36526,-36411,183,2.66
470,SPY260731C00470000,SPY260731P00470000,25,152507,15,580,1.892578662109375,1.2500037499999999,271.16,0,273.98,0.01,283.1,0.01,639,-3896444,-3895805,595,3.64
475,SPY260731C00475000,SPY260731P00475000,13,7082,20,64,3.6333016979980473,1.21875390625,278.97,0,281.77,0.01,269.8,0.01,1549,-843716,-842167,84,26.2
480,SPY260731C00480000,SPY260731P00480000,2,2536,2,990,1.5859395703124997,1.1875040625,260.53,0,264.04,0.01,264.07,0.01,31,-38953,-38922,992,1.93
485,SPY260731C00485000,SPY260731P00485000,32,2052,20,1,1.6640641796875002,1.1875040625,255.99,0,258.81,0.01,252.85,0.03,681,-43693,-43012,21,2.75
490,SPY260731C00490000,SPY260731P00490000,102,855,1,1,1.4921900390624998,1.15625421875,251.29,0,253.24,0.01,262.13,0.01,1549,-12985,-11436,2,1.82
495,SPY260731C00495000,SPY260731P00495000,21,1225,2,480,1.5957051464843748,1.125004375,245.99,0,248.82,0.01,257.01,0.01,444,-25929,-25485,482,2.61
500,SPY260731C00500000,SPY260731P00500000,51,2985,24,1,1.67578287109375,1.09375453125,241.21,0,243.99,0.01,245,0.01,1387,-81171,-79784,25,3.41
505,SPY260731C00505000,SPY260731P00505000,31,2173,1,360,0.000010000000000000003,1.0625046875000002,233.11,0,236.43,0.01,244.56,0.01,0,0,0,361,0
510,SPY260731C00510000,SPY260731P00510000,5,1794,1,42,1.6328143359374998,1.0312548437500002,231.31,0,234.03,0.01,245.01,0.01,145,-51871,-51726,43,3.49
515,SPY260731C00515000,SPY260731P00515000,9,1246,1,547,1.4501980615234376,1.015629921875,226,0,228.8,0.01,222.14,0.01,190,-26242,-26052,548,2.35
520,SPY260731C00520000,SPY260731P00520000,6,2236,2,24,1.5195336523437497,0.98437515625,221.18,0,223.99,0.01,222.63,0.01,163,-60840,-60677,26,3.09
525,SPY260731C00525000,SPY260731P00525000,10,1560,1,205,1.4941431542968748,0.9687503125,216.21,0,219.01,0.01,211.87,0.01,289,-45058,-44769,206,3.22
530,SPY260731C00530000,SPY260731P00530000,34,1040,9,4,1.4130888720703125,0.937500625,211.12,0,213.91,0.01,208.75,0.01,873,-26703,-25830,13,2.74
535,SPY260731C00535000,SPY260731P00535000,30,12829,1,10,1.1015669921875002,0.9062509375,205.63,0,208.77,0.01,213.81,0.01,299,-127869,-127570,11,0.91
540,SPY260731C00540000,SPY260731P00540000,3,2192,1,3,1.4179716601562502,0.8906260937499999,201.28,0,204.1,0.01,198.16,0.01,97,-70790,-70693,4,3.38
545,SPY260731C00545000,SPY260731P00545000,2,636,1,2,2.7640411758422854,0.87500125,209.13,0,211.93,0.01,194.21,0.02,332,-105424,-105092,3,27.34
550,SPY260731C00550000,SPY260731P00550000,7,301967,19,41,1.162113564453125,0.8437515624999999,190.57,0,194.08,0.01,187.4,0.01,134,-5762300,-5762166,60,1.74
555,SPY260731C00555000,SPY260731P00555000,2,572,2,8,1.1308637207031251,0.8125018749999999,185.57,0,189.08,0.01,187.49,0.01,38,-10791,-10753,10,1.66
560,SPY260731C00560000,SPY260731P00560000,20,598,2,10,1.0996138769531252,0.79687703125,180.56,0,184.09,0.01,181.42,0.01,395,-11815,-11420,12,1.7
565,SPY260731C00565000,SPY260731P00565000,3,1050,2,6,1.2236366943359376,0.7812521875,176.27,0,179.02,0.01,176.41,0.01,105,-36706,-36601,8,3.18
570,SPY260731C00570000,SPY260731P00570000,1414,4371,4,34,0.9882813671875,0.7500025,171.26,0,173.27,0.01,171.4,0.01,23558,-72823,-49265,38,1.31
575,SPY260731C00575000,SPY260731P00575000,12,28557,2,2,0.92773509765625,0.7187528125,165.66,0,168.81,0.01,166.41,0.01,169,-403045,-402876,4,1.05
580,SPY260731C00580000,SPY260731P00580000,187,1163,4,6,0.9335944140625,0.70312796875,161.26,0,163.28,0.01,161.43,0.01,3299,-20515,-17216,10,1.31
585,SPY260731C00585000,SPY260731P00585000,26,4247,2,1549,0.9570316796874999,0.6875031250000001,155.59,0,159.1,0.01,156.35,0.01,617,-100835,-100218,1551,1.77
590,SPY260731C00590000,SPY260731P00590000,54,4325,2,59,1.049321159667969,0.6562534375000001,151.23,0,154.04,0.01,148.77,0.01,2076,-166284,-164208,61,2.97
595,SPY260731C00595000,SPY260731P00595000,296,3141,7,194,0.8330094824218748,0.6250037500000001,146.22,0,148.29,0.01,143.76,0.01,4975,-52794,-47819,201,1.11
600,SPY260731C00600000,SPY260731P00600000,6290,11815,125,6,1.0107471337890623,0.6093789062500001,142.71,0,142.76,0.01,142.53,0.01,285533,-536338,-250805,131,3.33
605,SPY260731C00605000,SPY260731P00605000,22,1505,5,48,0.95507857421875,0.5937540625000001,136.25,0,139.06,0.01,134.64,0.02,981,-67092,-66111,53,3.13
610,SPY260731C00610000,SPY260731P00610000,124,1075,3,16,0.8115253222656249,0.5625043750000001,131.41,0,133.3,0.01,128.54,0.01,3344,-28990,-25646,19,1.68
615,SPY260731C00615000,SPY260731P00615000,572,843,2,54,0.7744163183593751,0.5468795312500001,126.37,0,128.31,0.01,124.93,0.01,15967,-23532,-7565,56,1.67
620,SPY260731C00620000,SPY260731P00620000,1230,2544,4,1,0.6445348046875,0.51562984375,121.1,0,123.31,0.01,121.35,0.01,17462,-36116,-18654,5,0.75
