strike,call_symbol,put_symbol,call_oi,put_oi,call_volume,put_volume,call_iv,put_iv,call_bid,put_bid,call_ask,put_ask,call_last,put_last,call_gex,put_gex,total_gex,volume,probability
375,SPY260731C00375000,SPY260731P00375000,4,14639,4,150,2.9975610998535154,1.625001875,362.96,0,366.28,0.01,378.45,0.01,210,-767382,-767172,154,12.68
380,SPY260731C00380000,SPY260731P00380000,1,4245,1,502,2.9438502966308593,1.5937520312499998,357.96,0,361.27,0.01,373.33,0.01,52,-222340,-222288,503,12.44
385,,SPY260731P00385000,0,1082,0,200,0,1.5625021874999998,0,0,0,0.01,0,0.01,0,-9226,-9226,200,1.39
390,,SPY260731P00390000,0,1507,0,102,0,1.5312523437499999,0,0,0,0.01,0,0.01,0,-12461,-12461,102,1.33
395,SPY260731C00395000,SPY260731P00395000,11,2375,0,192,2.4531288671875,1.5000025,342.14,0,344.97,0.01,357.62,0.01,427,-92290,-91863,192,8.04
400,SPY260731C00400000,SPY260731P00400000,1,3173,1,32,2.3798868627929686,1.5000025,337.08,0,339.9,0.01,343.52,0.01,39,-123105,-123066,33,7.88
405,SPY260731C00405000,SPY260731P00405000,1,1716,1,20,2.6982454418945316,1.4375028125,332.99,0,336.3,0.01,343.87,0.01,53,-90458,-90405,21,11.41
410,,SPY260731P00410000,0,4783,0,482,0,1.4375028125,0,0,0,0.01,0,0.01,0,-40710,-40710,482,1.28
415,SPY260731C00415000,SPY260731P00415000,1,858,0,380,4.324467485046386,1.40625296875,338.84,0,341.64,0.01,322.94,0.01,115,-98748,-98633,380,34.52
420,SPY260731C00420000,SPY260731P00420000,33,1783,54,481,2.150395249023437,1.3750031249999999,316.73,0,319.99,0.01,332.73,0.01,1173,-63401,-62228,535,6.56
425,,SPY260731P00425000,0,2525,0,32,0,1.3437532812499997,0,0,0,0.01,0,0.01,0,-19142,-19142,32,1.07
430,SPY260731C00430000,SPY260731P00430000,25,8205,50,300,2.0712938842773436,1.3125034374999998,306.74,0,309.99,0.01,322.71,0.01,881,-289264,-288383,350,6.24
435,SPY260731C00435000,SPY260731P00435000,1,4128,0,2213,2.1162156469726563,1.2812535937499998,302.18,0,304.97,0.01,299.94,0.02,39,-161953,-161914,2213,6.98
440,SPY260731C00440000,SPY260731P00440000,56,5447,32,5,2.1035203662109367,1.2500037499999999,296.92,0,300.39,0.01,298.17,0.01,2269,-220717,-218448,37,7.11
445,SPY260731C00445000,SPY260731P00445000,1,3540,2,50,2.0127002807617185,1.2500037499999999,292.11,0,294.92,0.01,293.25,0.01,39,-139378,-139339,52,6.72
450,SPY260731C00450000,SPY260731P00450000,86,4454,1,48,1.9838867993164064,1.21875390625,287.13,0,289.96,0.01,288.16,0.01,3424,-177351,-173927,49,6.67
455,SPY260731C00455000,SPY260731P00455000,2,757,2,131,1.953125234375,1.1875040625,282.16,0,284.98,0.01,283.15,0.01,80,-30402,-30322,133,6.6
460,SPY260731C00460000,SPY260731P00460000,1,2963,0,220,1.8818365283203122,1.15625421875,277.13,0,279.83,0.01,292.84,0.01,38,-113019,-112981,220,6.07
465,SPY260731C00465000,SPY260731P00465000,6,1905,2,181,1.8896489892578123,1.125004375,272.2,0,275.03,0.01,286.94,0.02,244,-77586,-77342,183,6.43
470,SPY260731C00470000,SPY260731P00470000,25,152507,15,580,1.8476570117187499,1.09375453125,267.2,0,270.01,0.01,283.1,0.01,1009,-6155238,-6154229,595,6.21
475,SPY260731C00475000,SPY260731P00475000,13,7146,20,64,3.524293181457519,1.09375453125,278.97,0,281.77,0.01,269.8,0.01,1816,-998487,-996671,84,33.77
480,SPY260731C00480000,SPY260731P00480000,2,2536,2,990,1.7402356738281248,1.0625046875000002,256.79,0,260.23,0.01,264.07,0.01,80,-101424,-101344,992,5.87
485,SPY260731C00485000,SPY260731P00485000,45,2052,7,1,1.703126484375,1.0312548437500002,252.1,0,254.92,0.01,255.24,0.03,1792,-81707,-79915,8,5.7
490,SPY260731C00490000,SPY260731P00490000,102,855,1,1,1.3125034374999998,1.000005,247.12,0,248.6,0.01,262.13,0.01,1796,-15052,-13256,2,2.13
495,SPY260731C00495000,SPY260731P00495000,21,1225,2,480,1.6181659716796877,0.98437515625,241.8,0,245.15,0.01,257.01,0.01,834,-48636,-47802,482,5.41
500,SPY260731C00500000,SPY260731P00500000,51,3013,24,160,1.6118183471679686,0.9687503125,237.16,0,239.98,0.01,245,0.01,2193,-129530,-127337,184,5.81
505,SPY260731C00505000,SPY260731P00505000,31,2173,1,360,1.8325203686523435,0.937500625,233.11,0,236.43,0.01,244.56,0.01,2004,-140478,-138474,361,9.37
510,SPY260731C00510000,SPY260731P00510000,5,1794,1,42,1.572267763671875,0.9062509375,227.28,0,230.1,0.01,245.01,0.01,227,-81505,-81278,43,5.89
515,SPY260731C00515000,SPY260731P00515000,9,1246,1,547,1.4907252026367184,0.9062509375,222.12,0,224.93,0.01,222.14,0.01,396,-54880,-54484,548,5.53
520,SPY260731C00520000,SPY260731P00520000,8,2236,2,24,1.4179716601562502,0.87500125,216.81,0,219.99,0.01,219.9,0.01,324,-90567,-90243,26,4.86
525,SPY260731C00525000,SPY260731P00525000,10,1560,1,205,1.3959991137695313,0.8437515624999999,211.81,0,215.07,0.01,211.87,0.01,414,-64588,-64174,206,4.85
530,SPY260731C00530000,SPY260731P00530000,6,1044,32,4,1.4384793701171876,0.8281267187499999,207.13,0,210.33,0.01,208.26,0.01,302,-52614,-52312,36,5.98
535,SPY260731C00535000,SPY260731P00535000,30,12831,1,10,1.3515657421874998,0.8125018749999999,202.07,0,204.98,0.01,213.81,0.01,1396,-596907,-595511,11,5.27
540,SPY260731C00540000,SPY260731P00540000,3,2192,1,3,1.3491243481445312,0.7812521875,197.24,0,200.06,0.01,198.16,0.01,150,-109346,-109196,4,5.56
545,SPY260731C00545000,SPY260731P00545000,2,636,1,2,2.6921419415283205,0.7656273437500001,209.13,0,211.93,0.01,194.21,0.02,390,-123965,-123575,3,35.28
550,SPY260731C00550000,SPY260731P00550000,22,301970,1,37,1.284671545410156,0.7500025,187.26,0,190.08,0.01,188.74,0.01,1189,-16318503,-16317314,38,5.76
555,SPY260731C00555000,SPY260731P00555000,3,572,1,8,1.261478302001953,0.7187528125,182.31,0,185.13,0.01,194.14,0.01,166,-31737,-31571,9,5.75
560,SPY260731C00560000,SPY260731P00560000,20,602,2,6,1.2334022705078125,0.6875031250000001,177.15,0,180.35,0.01,177.17,0.01,1127,-33910,-32783,8,5.66
565,SPY260731C00565000,SPY260731P00565000,3,1049,1,4,1.1733439770507812,0.73437765625,172.21,0.01,175.04,0.02,182.84,0.01,192,-67193,-67001,5,6.4
570,SPY260731C00570000,SPY260731P00570000,1415,4405,1,30,0.8535170898437501,0.710940390625,167.05,0.01,168.65,0.02,169.68,0.01,36582,-113882,-77300,31,2.12
575,SPY260731C00575000,SPY260731P00575000,12,26367,1,2177,1.1279340478515625,0.6875031250000001,162.32,0.01,165.14,0.02,162.13,0.01,853,-1874546,-1873693,2178,6.76
580,SPY260731C00580000,SPY260731P00580000,187,1165,5,1,0.726565234375,0.6718782812500002,156.93,0.01,158.65,0.02,163.5,0.01,3584,-22326,-18742,6,1.4
585,SPY260731C00585000,SPY260731P00585000,27,2714,4,47,1.0380907470703127,0.648441015625,152.23,0.01,154.99,0.02,166.41,0.02,1954,-196435,-194481,51,6.39
590,SPY260731C00590000,SPY260731P00590000,55,4270,1,1,1.0043995092773437,0.6250037500000001,146.98,0.01,150.23,0.02,147.75,0.01,4094,-317820,-313726,2,6.35
595,SPY260731C00595000,SPY260731P00595000,296,3095,2,115,0.7050810742187501,0.6015664843750002,142.02,0.01,143.64,0.02,143.85,0.02,7911,-82716,-74805,117,1.83
600,SPY260731C00600000,SPY260731P00600000,6285,11812,1,11,0.9545902978515625,0.6093789062500001,138.65,0.02,138.72,0.03,144.22,0.01,569565,-1070438,-500873,12,7.42
605,SPY260731C00605000,SPY260731P00605000,22,1476,5,9,0.9003916210937499,0.585941640625,131.88,0.02,135.25,0.03,134.64,0.02,1949,-130765,-128816,14,6.89
610,SPY260731C00610000,SPY260731P00610000,124,1078,3,2,0.6171913281250001,0.5625043750000001,126.95,0.02,128.68,0.03,128.54,0.02,3936,-34222,-30286,5,1.96
615,SPY260731C00615000,SPY260731P00615000,572,809,2,78,0.6611362011718751,0.5390671093750001,122.14,0.02,123.69,0.03,124.93,0.03,27294,-38603,-11309,80,3
620,SPY260731C00620000,SPY260731P00620000,1231,2559,5,6,0.6445348046875,0.5195360546875,117.17,0.02,118.7,0.03,130.99,0.03,65374,-135900,-70526,11,3.24
621,SPY260731C00621000,SPY260731P00621000,0,1082,4,22,0.7995625512695312,0.51562984375,115.98,0.02,119.15,0.03,117.02,0.04,0,-111906,-111906,26,7.12
622,SPY260731C00622000,SPY260731P00622000,10,746,2,25,0.8129901513671874,0.5273484765625001,115.27,0.03,118.1,0.04,118.09,0.05,1169,-87225,-86056,27,8.2
623,SPY260731C00623000,SPY260731P00623000,94,950,1,1,0.7944356494140624,0.5214891601562499,113.92,0.03,117.3,0.04,132.06,0.07,10659,-107726,-97067,2,7.81
624,SPY260731C00624000,SPY260731P00624000,0,347,1,4,0.000010000000000000003,0.51758294921875,0,0.03,0,0.04,74.94,0.05,0,0,0,5,0
625,SPY260731C00625000,SPY260731P00625000,610,4238,7,160,0.57617611328125,0.5117236328125,112.02,0.03,113.69,0.04,113.6,0.03,29222,-203024,-173802,167,2.73
626,SPY260731C00626000,SPY260731P00626000,30,1552,29,751,0.7756370092773439,0.507817421875,110.92,0.03,114.3,0.04,116.7,0.07,3515,-181833,-178318,780,7.87
627,SPY260731C00627000,SPY260731P00627000,10,754,10,101,1.2636755566406248,0.5039112109375,116,0.03,119.29,0.04,83.32,0.07,2898,-218502,-215604,111,26.81
628,SPY260731C00628000,SPY260731P00628000,0,298,1,125,0.000010000000000000003,0.500005,0,0.03,0,0.04,77.64,0.04,0,0,0,126,0
629,SPY260731C00629000,SPY260731P00629000,13,382,46,7,0.9187019848632813,0.5019581054687501,109.32,0.03,112.64,0.04,124.61,0.05,2451,-72013,-69562,53,14.02
630,SPY260731C00630000,SPY260731P00630000,797,152471,20,21,0.526371923828125,0.49609878906250005,106.93,0.03,108.71,0.04,110.45,0.03,35955,-6878456,-6842501,41,2.41
631,SPY260731C00631000,SPY260731P00631000,11,2312,6,515,0.7658714819335939,0.49219257812500006,106.34,0.03,109.17,0.04,116.38,0.09,1494,-314018,-312524,521,8.94
632,SPY260731C00632000,SPY260731P00632000,10,1810,5,15,0.8975840319824218,0.48828636718750007,106.33,0.03,109.64,0.04,112.21,0.04,1957,-354163,-352206,20,14.19
633,SPY260731C00633000,SPY260731P00633000,0,440,1,19,0.000010000000000000003,0.48438015625,0,0.03,0,0.04,124.04,0.04,0,0,0,20,0
634,SPY260731C00634000,SPY260731P00634000,0,877,125,5,0.000010000000000000003,0.47852083984375,0,0.03,0,0.04,125.47,0.03,0,-1,-1,130,0
635,SPY260731C00635000,SPY260731P00635000,42,840,10,26,0.7280300634765625,0.47461462890625,101.92,0.03,105.42,0.04,105.05,0.05,5772,-115432,-109660,36,8.65
636,SPY260731C00636000,SPY260731P00636000,15,448,1,2,0.7104521142578125,0.4687553125,101.28,0.03,103.91,0.04,117.5,0.04,2002,-59788,-57786,3,8.24
637,SPY260731C00637000,SPY260731P00637000,702,882,1,1,1.2067910754394529,0.476567734375,106.56,0.04,109.87,0.05,67.16,0.04,239703,-301165,-61462,2,30.09
638,SPY260731C00638000,SPY260731P00638000,566,286,1,22,0.5751995605468749,0.47070841796875,99.27,0.04,100.74,0.05,103.83,0.05,48969,-24744,24225,23,4.74
639,SPY260731C00639000,SPY260731P00639000,21,502,20,16,0.8474136352539061,0.46680220703125,99.35,0.04,102.63,0.05,106,0.04,4597,-109900,-105303,36,15.06
640,SPY260731C00640000,SPY260731P00640000,322,2897,3,113,0.543949873046875,0.46289599609375004,97.16,0.04,98.73,0.05,98.91,0.05,25910,-233108,-207198,116,4.24
641,SPY260731C00641000,SPY260731P00641000,92,264,2,1,0.8348405187988279,0.45703667968750006,97.35,0.04,100.67,0.05,108.07,0.05,20747,-59536,-38789,3,15.25
642,SPY260731C00642000,SPY260731P00642000,0,382,50,25,0.000010000000000000003,0.45313046875,0,0.04,0,0.05,117.6,0.05,0,-1,-1,75,0
643,SPY260731C00643000,SPY260731P00643000,104,526,1,417,0.6857941577148439,0.44922425781249997,93.92,0.04,95.73,0.05,95.48,0.12,16919,-85571,-68652,418,9.66
644,SPY260731C00644000,SPY260731P00644000,100,2076,1,192,0.6787141503906251,0.44336494140625,93.31,0.04,96.14,0.05,109.56,0.05,16390,-340260,-323870,193,9.63
645,SPY260731C00645000,SPY260731P00645000,185,17842,1,952,0.5390671093750001,0.43945873046875,92.27,0.04,93.75,0.05,97.34,0.05,17760,-1712788,-1695028,953,4.92
646,SPY260731C00646000,SPY260731P00646000,32,244,1,1064,1.5979024011230467,0.43555251953125,108.44,0.04,111.24,0.05,86.94,0.05,15191,-115834,-100643,1065,50.53
647,SPY260731C00647000,SPY260731P00647000,1218,435,2,7,0.5141650146484374,0.42969320312500003,90.19,0.04,91.74,0.05,99.43,0.13,111094,-39676,71418,9,4.51
648,SPY260731C00648000,SPY260731P00648000,0,856,2,2,0.000010000000000000003,0.4335994140625,0,0.05,0,0.06,111.8,0.03,0,-2,-2,4,0
649,SPY260731C00649000,SPY260731P00649000,11,747,2,1,0.6108437353515627,0.42969320312500003,87.94,0.05,91,0.06,90.96,0.04,1762,-119628,-117866,3,8.72
650,SPY260731C00650000,SPY260731P00650000,1308,8684,2,27,0.5092822509765625,0.42578699218750005,87.25,0.05,88.75,0.06,90.14,0.05,139468,-925949,-786481,29,5.22
651,SPY260731C00651000,SPY260731P00651000,18,1138,1,2,0.6367223828125,0.41992767578125,86.41,0.05,89.08,0.06,98.51,0.05,3396,-214696,-211300,3,10.43
652,SPY260731C00652000,SPY260731P00652000,0,893,1,1,0.000010000000000000003,0.41602146484374997,0,0.05,0,0.06,103.59,0.1,0,-3,-3,2,0
653,SPY260731C00653000,SPY260731P00653000,46,382,2,129,1.5468162307739255,0.411138701171875,101.79,0.05,105.14,0.06,91.66,0.06,23948,-198871,-174923,131,53.35
