strike,call_symbol,put_symbol,call_oi,put_oi,call_volume,put_volume,call_iv,put_iv,call_bid,put_bid,call_ask,put_ask,call_last,put_last,call_gex,put_gex,total_gex,volume,probability
495,,QQQ260721P00495000,0,3016,0,3,0,1.96875015625,0,0,0,0.01,0,0.01,0,-41789,-41789,3,1.43
500,,QQQ260721P00500000,0,15,0,10,0,1.9375003125,0,0,0,0.01,0,0.01,0,-226,-226,10,1.52
505,QQQ260721C00505000,QQQ260721P00505000,8,76,8,84,2.8750028125,1.875000625,201.99,0,203.89,0.01,191.08,0.01,454,-4313,-3859,92,7.05
510,,QQQ260721P00510000,0,17,0,150,0,1.8125009374999999,0,0,0,0.01,0,0.01,0,-236,-236,150,1.32
515,,QQQ260721P00515000,0,30,0,9,0,1.78125109375,0,0,0,0.01,0,0.01,0,-455,-455,9,1.41
520,,QQQ260721P00520000,0,27,0,12,0,1.75000125,0,0,0,0.01,0,0.01,0,-448,-448,12,1.52
525,,QQQ260721P00525000,0,53,0,35,0,1.6875015625,0,0,0,0.01,0,0.01,0,-842,-842,35,1.4
530,,QQQ260721P00530000,0,49,0,38,0,1.625001875,0,0,0,0.01,0,0.01,0,-742,-742,38,1.29
540,,QQQ260721P00540000,0,41,0,4,0,1.5312523437499999,0,0,0,0.01,0,0.02,0,-651,-651,4,1.27
545,,QQQ260721P00545000,0,18,0,0,0,1.5000025,0,0,0,0.01,0,0.1,0,-317,-317,0,1.38
550,,QQQ260721P00550000,0,9879,0,9855,0,1.4375028125,0,0,0,0.01,0,0.01,0,-164629,-164629,9855,1.25
555,,QQQ260721P00555000,0,1844,0,1900,0,1.3750031249999999,0,0,0,0.01,0,0.01,0,-28832,-28832,1900,1.13
560,,QQQ260721P00560000,0,2203,0,1206,0,1.3437532812499997,0,0,0,0.01,0,0.01,0,-38636,-38636,1206,1.23
565,,QQQ260721P00565000,0,80,0,70,0,1.2812535937499998,0,0,0,0.01,0,0.01,0,-1309,-1309,70,1.1
570,,QQQ260721P00570000,0,84,0,85,0,1.2500037499999999,0,0,0,0.01,0,0.01,0,-1554,-1554,85,1.21
575,QQQ260721C00575000,QQQ260721P00575000,7,31,7,5,2.2285200537109366,1.1875040625,131.99,0,135.35,0.01,124.96,0.02,872,-3860,-2988,12,11.13
580,QQQ260721C00580000,QQQ260721P00580000,0,1534,1,343,2.1523483691406247,1.15625421875,126.99,0,130.36,0.01,120.1,0.01,0,-202859,-202859,344,11.45
585,QQQ260721C00585000,QQQ260721P00585000,26,736,1,958,1.9902344238281249,1.09375453125,121.78,0,125.11,0.01,114.34,0.02,3221,-91192,-87971,959,10
590,,QQQ260721P00590000,0,698,0,229,0,1.0625046875000002,0,0,0,0.01,0,0.02,0,-14482,-14482,229,1.15
595,,QQQ260721P00595000,0,298,0,174,0,1.000005,0,0,0,0.01,0,0.01,0,-5622,-5622,174,0.99
600,QQQ260721C00600000,QQQ260721P00600000,36,821,1,84,1.8310555322265623,0.9687503125,106.99,0,110.28,0.01,106.63,0.02,5713,-130298,-124585,85,11.63
605,,QQQ260721P00605000,0,4623,0,291,0,0.92187578125,0,0,0,0.01,0,0.02,0,-105265,-105265,291,1.1
610,,QQQ260721P00610000,0,612,0,1,0,0.87500125,0,0,0,0.01,0,0.01,0,-14393,-14393,1,1.08
615,,QQQ260721P00615000,0,261,0,112,0,0.8437515624999999,0,0,0,0.01,0,0.01,0,-7358,-7358,112,1.24
620,QQQ260721C00620000,QQQ260721P00620000,5,1606,5,2,1.5366234106445313,0.7812521875,86.99,0,90.35,0.01,86.55,0.01,1029,-330627,-329598,7,12.49
625,,QQQ260721P00625000,0,553,0,5,0,0.7500025,0,0,0,0.01,0,0.01,0,-17015,-17015,5,1.21
630,QQQ260721C00630000,QQQ260721P00630000,22,760,7,69,1.3754914038085935,0.6875031250000001,76.99,0,80.28,0.01,77.69,0.01,5191,-179317,-174126,76,12.74
635,,QQQ260721P00635000,0,1287,0,6,0,0.6562534375000001,0,0,0,0.01,0,0.01,0,-43524,-43524,6,1.16
640,,QQQ260721P00640000,0,1888,0,18,0,0.6093789062500001,0,0,0,0.01,0,0.01,0,-67121,-67121,18,1.13
645,,QQQ260721P00645000,0,987,0,60,0,0.5625043750000001,0,0,0,0.01,0,0.01,0,-36956,-36956,60,1.1
650,QQQ260721C00650000,QQQ260721P00650000,41,2170,32,826,1.076176494140625,0.51562984375,58.58,0,58.73,0.01,53.38,0.01,14632,-774441,-759809,858,14.87
655,QQQ260721C00655000,QQQ260721P00655000,1,3147,2,391,0.989257919921875,0.507817421875,53.53,0,53.68,0.01,43.5,0.01,423,-1332136,-1331713,393,16.59
660,QQQ260721C00660000,QQQ260721P00660000,18,3330,14,1609,0.9223640576171875,0.46094289062500005,48.58,0,48.73,0.01,43.26,0.01,8877,-1642233,-1633356,1623,17.85
663,,QQQ260721P00663000,0,4611,0,3967,0,0.437505625,0,0,0,0.01,0,0.01,0,-459602,-459602,3967,2.28
664,,QQQ260721P00664000,0,3178,0,1125,0,0.42969320312500003,0,0,0,0.01,0,0.01,0,-334098,-334098,1125,2.36
665,QQQ260721C00665000,QQQ260721P00665000,2,2476,2,2335,0.8540053662109376,0.414068359375,43.63,0,43.78,0.01,38.32,0.01,1167,-1444643,-1443476,2337,19.36
666,,QQQ260721P00666000,0,640,0,410,0,0.4062559375,0,0,0,0.01,0,0.01,0,-66446,-66446,410,2.21
667,,QQQ260721P00667000,0,497,0,479,0,0.398443515625,0,0,0,0.01,0,0.01,0,-54623,-54623,479,2.29
668,QQQ260721C00668000,QQQ260721P00668000,1,2376,16,603,0.8100604931640624,0.39063109375,40.67,0,40.78,0.01,38.68,0.01,654,-1554128,-1553474,619,20.55
669,,QQQ260721P00669000,0,568,0,2882,0,0.38281867187499996,0,0,0,0.01,0,0.01,0,-70316,-70316,2882,2.48
670,QQQ260721C00670000,QQQ260721P00670000,347,5617,374,7842,0.7722190747070312,0.3711000390625,38.62,0,38.76,0.01,38.96,0.01,240574,-3894247,-3653673,8216,20.74
671,QQQ260721C00671000,QQQ260721P00671000,1,678,1,1490,0.7563500927734376,0.35938140625,37.62,0,37.76,0.01,27.35,0.01,716,-485573,-484857,1491,20.91
672,,QQQ260721P00672000,0,1272,0,1058,0,0.35156898437499995,0,0,0,0.01,0,0.01,0,-166277,-166277,1058,2.41
673,QQQ260721C00673000,QQQ260721P00673000,13,1151,32,1792,0.7226590234375,0.367193828125,35.61,0.01,35.75,0.02,33.66,0.01,10527,-932073,-921546,1824,23.1
674,QQQ260721C00674000,QQQ260721P00674000,1,972,8,1056,0.7138700488281251,0.35938140625,34.67,0.01,34.78,0.02,32.81,0.02,856,-832350,-831494,1064,24.05
675,QQQ260721C00675000,QQQ260721P00675000,46,9412,46,4262,0.6879914013671876,0.34766277343749996,33.61,0.01,33.72,0.02,33.32,0.02,40194,-8224107,-8183913,4308,23.68
676,QQQ260721C00676000,QQQ260721P00676000,4,1044,51,5551,0.6630893066406252,0.3398503515625,32.54,0.01,32.68,0.02,30.85,0.02,3600,-939567,-935967,5602,23.62
677,QQQ260721C00677000,QQQ260721P00677000,1,2731,51,6265,0.665286550292969,0.32813171874999997,31.67,0.01,31.78,0.02,31.61,0.02,969,-2645273,-2644304,6316,25.18
678,,QQQ260721P00678000,0,1458,0,5427,0,0.32031929687499994,0,0.01,0,0.02,0,0.02,0,-390811,-390811,5427,4.49
679,QQQ260721C00679000,QQQ260721P00679000,36,2597,19,4155,0.6333044482421876,0.3086006640625,29.68,0.01,29.78,0.02,27.17,0.02,38252,-2759423,-2721171,4174,26.19
680,QQQ260721C00680000,QQQ260721P00680000,175,12848,56,7754,0.6062051098632814,0.3007882421875,28.61,0.01,28.71,0.02,26.58,0.02,192009,-14096737,-13904728,7810,26.04
681,QQQ260721C00681000,QQQ260721P00681000,255,4349,32,3984,0.5876506079101562,0.304694453125,27.59,0.02,27.7,0.03,25.86,0.03,300317,-5121874,-4821557,4016,27.5
682,QQQ260721C00682000,QQQ260721P00682000,19,6360,6,6215,0.57617611328125,0.2929758203124999,26.62,0.02,26.74,0.03,26.62,0.03,23691,-7930324,-7906633,6221,28.36
683,QQQ260721C00683000,QQQ260721P00683000,16,1164,69,3684,0.5532271240234375,0.28321029296874994,25.58,0.02,25.69,0.03,25.24,0.02,20812,-1514094,-1493282,3753,28.47
684,QQQ260721C00684000,QQQ260721P00684000,16,1795,2,7634,0.5459029785156251,0.273444765625,24.64,0.02,24.76,0.03,22.5,0.02,22370,-2509621,-2487251,7636,29.98
685,QQQ260721C00685000,QQQ260721P00685000,157,4628,110,7258,0.5200243310546875,0.273444765625,23.58,0.03,23.69,0.04,23.34,0.04,232846,-6863773,-6630927,7368,30.8
686,QQQ260721C00686000,QQQ260721P00686000,84,1463,5,4145,0.5180712255859375,0.2617261328125,22.69,0.03,22.8,0.04,20.53,0.03,135155,-2353949,-2218794,4150,32.84
687,QQQ260721C00687000,QQQ260721P00687000,46,2856,34,6935,0.5034229345703125,0.25196060546875,21.7,0.03,21.83,0.04,19.01,0.04,79083,-4910001,-4830918,6969,33.99
688,QQQ260721C00688000,QQQ260721P00688000,210,1771,12,6140,0.4929249926757813,0.24805439453125,20.7,0.04,20.82,0.05,18.95,0.04,392425,-3309450,-2917025,6152,36.24
689,QQQ260721C00689000,QQQ260721P00689000,211,2516,42,9996,0.4753470434570312,0.23731231445312498,19.71,0.04,19.82,0.05,19.09,0.04,421229,-5022805,-4601576,10038,37.23
690,QQQ260721C00690000,QQQ260721P00690000,380,4455,261,17110,0.45044494873046875,0.23242955078125,18.68,0.05,18.76,0.06,17.95,0.06,811598,-9514915,-8703317,17371,38.17
691,QQQ260721C00691000,QQQ260721P00691000,335,2275,39,9795,0.4420221813964844,0.22071091796874998,17.72,0.05,17.84,0.06,17.1,0.05,777966,-5283199,-4505233,9834,40.28
692,QQQ260721C00692000,QQQ260721P00692000,146,1889,108,9968,0.42163664306640625,0.213875048828125,16.73,0.06,16.82,0.07,16.24,0.06,366657,-4743935,-4377278,10076,41.77
693,QQQ260721C00693000,QQQ260721P00693000,451,2283,175,12104,0.3978331701660156,0.20703917968749996,15.67,0.07,15.77,0.08,15.4,0.07,1225346,-6202807,-4977461,12279,43.01
694,QQQ260721C00694000,QQQ260721P00694000,257,2009,260,15146,0.3806214282226562,0.1992267578125,14.68,0.08,14.78,0.09,15,0.09,763802,-5970735,-5206933,15406,45.1
695,QQQ260721C00695000,QQQ260721P00695000,1525,6903,1821,36223,0.36426416992187505,0.19043778320312502,13.69,0.09,13.8,0.1,13,0.09,4979955,-22542053,-17562098,38044,47.41
696,QQQ260721C00696000,QQQ260721P00696000,1913,3464,1437,24623,0.35767243896484374,0.180672255859375,12.79,0.1,12.92,0.11,12.52,0.1,6939572,-12565958,-5626386,26060,51.11
697,QQQ260721C00697000,QQQ260721P00697000,1475,3133,1459,41678,0.33130551513671874,0.1733481103515625,11.74,0.12,11.85,0.13,11.88,0.12,5904867,-12542338,-6637471,43137,52.87
698,QQQ260721C00698000,QQQ260721P00698000,2444,1859,2092,31906,0.3193427441406249,0.165047412109375,10.8,0.14,10.93,0.15,11.05,0.15,10937728,-8319655,2618073,33998,56.73
699,QQQ260721C00699000,QQQ260721P00699000,1571,1452,1844,52534,0.29456271850585936,0.15747912841796874,9.8,0.17,9.88,0.18,9.84,0.17,7881738,-7284713,597025,54378,59.35
700,QQQ260721C00700000,QQQ260721P00700000,4434,3997,7739,154502,0.28565167480468745,0.1469811865234375,8.9,0.19,9.01,0.2,9,0.2,25118292,-22642719,2475573,162241,64.14
701,QQQ260721C00701000,QQQ260721P00701000,4052,1840,9458,74992,0.2601392346191406,0.13990117919921874,7.88,0.24,7.96,0.25,8.12,0.24,26179981,-11888244,14291737,84450,67.64
702,QQQ260721C00702000,QQQ260721P00702000,3793,2101,11115,81328,0.24341576904296874,0.13086806640624998,6.94,0.29,7.02,0.3,7.13,0.3,28100505,-15565294,12535211,92443,72.57
703,QQQ260721C00703000,QQQ260721P00703000,2310,1445,25433,141683,0.22071091796874998,0.12232322998046877,5.95,0.36,6.02,0.37,6.02,0.36,19908418,-12453534,7454884,167116,77.37
704,QQQ260721C00704000,QQQ260721P00704000,2305,1169,52472,144909,0.20252262329101559,0.11304597900390626,5.02,0.45,5.09,0.46,5.09,0.46,23206585,-11769413,11437172,197381,83.15
705,QQQ260721C00705000,QQQ260721P00705000,11976,2491,126365,174291,0.188484677734375,0.10364665893554686,4.21,0.57,4.24,0.58,4.25,0.58,140170908,-29155455,111015453,300656,89.48
706,QQQ260721C00706000,QQQ260721P00706000,2481,456,137558,115800,0.1706625903320313,0.09339285522460938,3.35,0.73,3.37,0.74,3.37,0.74,34141885,-6275171,27866714,253358,95.1
707,QQQ260721C00707000,QQQ260721P00707000,2600,386,150125,81918,0.14991084472656252,0.08362732788085939,2.48,0.97,2.5,0.98,2.48,0.97,42196799,-6264602,35932197,232043,99.19
